Chapter,Part,ID,Type,Prompt,Name/Problem,Description/Solution
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,494a98e3-ad2b-4f3d-b21f-38a222cf6392,DEFINITION,,Natural Numbers,"The set of counting numbers { 1, 2, 3, 4, 5, …}."
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,384110f3-6111-4614-95a2-4726bb08b5c2,DEFINITION,,Whole Numbers,"Natural numbers combined with zero  { 0, 1, 2, 3, 4, 5, …}."
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,38c86c18-1e18-4593-acea-b883ccb264bd,DEFINITION,,Integers,"Positive and negative whole numbers including zero {…,−5, −4, −3,−2, −1, 0, 1, 2, 3, 4, 5…}."
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,698ca794-7c7a-493f-968d-7f82f9502a01,DEFINITION,,Rational Numbers,Any number of the form a/b where a and b are integers where b is not equal to zero.
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,5d411db0-1f84-4d41-b9f6-5baa1968cbdc,DEFINITION,,Irrational Numbers,Numbers that cannot be written as a ratio of two integers.
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,94c1e8a5-82d4-48d0-9316-0c8a6e82deca,DEFINITION,,inequalities,"express the relationship between numbers:
<   ""less than""
>   ""greater than""
≤   ""less than or equal to""
≥   ""greater than or equal to"""
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,ea4c4221-dcb0-4468-8536-8ed365b9e8eb,PROBLEM,"Write the appropriate symbol, either < or >.",-2 _ -12,http://1.bp.blogspot.com/--R3ZbTClmrs/UJHvS-quxeI/AAAAAAAACcY/wtN5X-xZijg/s1600/ex01-01002.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,1ebfaba7-c2cd-4b26-9b1a-ca40bffa0896,PROBLEM,"Write the appropriate symbol, either < or >.",-48 _ 0,http://2.bp.blogspot.com/-I6Kp9romTnE/UJHvY9cBEbI/AAAAAAAACcg/WHlkDVkLnPo/s1600/ex01-01003.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,0016ea34-ae92-4eb1-abce-e3490d805292,PROBLEM,"Write the appropriate symbol, either < or >.",2 _ 12,http://2.bp.blogspot.com/-nKcNmFLXaYU/UJHvN4QSKBI/AAAAAAAACcQ/csuBd7ZQcyM/s1600/ex01-01001.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,804981b2-5c23-4764-a766-d9855ca9f1a0,PROBLEM,List three integers satisfying the given statement,Less than -5,http://3.bp.blogspot.com/-OEkw1VOpOZE/UJHv6mgd0HI/AAAAAAAACco/PtsS52wXb0I/s1600/ex01-01004.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,771976b7-f3f3-4bd0-a75b-330e50a0859c,PROBLEM,List three integers satisfying the given statement,Greater than -2,http://1.bp.blogspot.com/-Qs-u8hgF424/UJHwDiLvogI/AAAAAAAACcw/Xw1_Tni8GCA/s1600/ex01-01005.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,e754ce86-919d-43e6-8ece-9f3e7597d08d,PROBLEM,List three integers satisfying the given statement,Between -2 and 7,http://2.bp.blogspot.com/-SaUK752xegY/UJHwHwxdD-I/AAAAAAAACc4/HpwhK5etzIU/s1600/ex01-01006.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,e9c3f1f6-46e3-4910-8806-ff7edd5d496f,DEFINITION,,Absolute Value,"The distance between 0 and the real number a on the number line, denoted |a|. Because the absolute value is defined to be a distance, it will always be positive. It is worth noting that |0| = 0."
